"id";"sritieskodas";"sritis";"forma";"vykdytojas";"projektas";"suma";"nefinansuojamadalis"
"735";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Rokiškio krašto muziejus";"Katalogas ""Verpimo ir audimo įrankių rinkinys Rokiškio krašto muziejuje""";"2900.00";
"736";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Rokiškio krašto muziejus";"XV respublikinė prakartėlių konkursinė paroda";"1500.00";
"737";"1.18";"muziejus";"BĮ";"Rokiškio krašto muziejus";"Ekspozicijos ""Renesansas ir Apšvietos epocha Rokiškyje"" sukūrimas Rokiškio krašto muziejuje";"16000.00";
"738";"1.18";"muziejus";"BĮ";"Rokiškio krašto muziejus";"Tu čia visada laukiamas";"10000.00";
"739";"1.19";"kultūros paveldas";"BĮ";"Rokiškio krašto muziejus";"Rokiškio krašto muziejaus internetinės svetainės papildymas interaktyviomis edukacinėmis programomis";"3700.00";
"740";"1.2";"tarpsritiniai projektai";"BĮ";"Rokiškio krašto muziejus";"Grafų Tyzenhauzų kultūros kelias";"5000.00";
"741";"1.2";"tarpsritiniai projektai";"BĮ";"Rokiškio krašto muziejus";"Viduramžių turnyras ""Roko kalavijas""";"3000.00";
"742";"1.3";"dailė";"BĮ";"Rokiškio krašto muziejus";"Paroda ir prisiminimų vakaras ""Dailininkui Rimui Zigmui Bičiūnui - 70""";"1000.00";
"743";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Rokiškio kultūros centras";"Fotokatologo Langinių tapymo plenerai Rokiškyje 2005-2014 leidyba";"3000.00";
"744";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Rokiškio kultūros centras";"Projekto: Folkloro šventė Aušta Aušrela, skirta etnografinių regionų metams";"1000.00";
"745";"1.15";"mėgėjų menas";"BĮ";"Rokiškio kultūros centras";"X-asis Tarptautinis gyvos muzikos festivalis ""Tėvo gitara""";"3000.00";
"746";"1.15";"mėgėjų menas";"BĮ";"Rokiškio kultūros centras";"CD ""Rokiškio rajono liaudies muzikantai"" leidyba";"1300.00";
"747";"1.6";"teatras";"BĮ";"Rokiškio kultūros centras";"XXXI Lietuvos profesionalių teatrų festivalis „Vaidiname žemdirbiams 2015“";"5000.00";"Nepagrindinės festivalio išlaidos"
"748";"1.16";"biblioteka";"BĮ";"Rokiškio rajono savivaldybės Juozo Keliuočio viešoji biblioteka";"Rokiškio krašto literatūrinio kelio pažinties ženklai";"3000.00";
"749";"1.8";"opera";"Asociacija";"Rokiškio rajono literatų klubas ""Vaivorykštė""";"Knygos apie operos solistę, Lietuvos liaudies artistę Ireną Jasiūnaitę leidyba";"1700.00";
"750";"1.3";"dailė";"VšĮ";"Rupertas";"Rupert parodų programa 2015 metais";"9000.00";
"751";"1.3";"dailė";"VšĮ";"Rupertas";"Jaunųjų Lietuvos menininkų kūrybos formos";"5000.00";
"752";"1.5";"tarpdisciplininis menas";"VšĮ";"Rupertas";"Rupert tarptautinių paskaitų edukacinė programa";"10000.00";
"753";"1.2";"dizainas";"VšĮ";"Rytų Europos žydų kultūros ir istorijos tyrimų centras";"Inovatyvus dizainas: kitoks požiūris į žydų etninių mažumų istoriją ir paveldą";"3000.00";
"754";"1.2";"tarpsritiniai projektai";"VšĮ";"Rytų Europos žydų kultūros ir istorijos tyrimų centras";"Žydų kultūros paveldo aktualizavimas ir pristatymas pasitelkus mobiliąsias technologijas";"3000.00";
"755";"1.17";"archyvas";"VšĮ";"S. Dariaus ir S. Girėno aerodromas";"S. Dariaus ir S. Girėno aerodromo 100-mečio istorija";"5000.00";
