"id";"sritieskodas";"sritis";"forma";"vykdytojas";"projektas";"suma";"nefinansuojamadalis"
"1006";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Zanavykų muziejus";"Zanavykų krašto senieji kryžiai";"4000.00";
"1007";"1.11";"muzika";"Asociacija";"Zanavykų Seimelis";"V-asis muzikos festivalis ""Beatričės vasaros""";"2000.00";
"1008";"1.14";"etninė kultūra ir tautodailė";"Asociacija";"Zanavykų seimelis";"Zanavykų kultūros tapatumo ženklai";"8700.00";
"1009";"1.18";"muziejus";"BĮ";"Zarasų krašto muziejus";"Žydų kultūros kelias (sugrįžimai): kelekcionierius Natonas Brodovskis (1859-1928)";"8000.00";
"1010";"1.19";"kultūros paveldas";"BĮ";"Zarasų krašto muziejus";"Rytų Aukštaitijos sakralinė medinė skulptūra";"7900.00";
"1011";"1.2";"tarpsritiniai projektai";"BĮ";"Zarasų krašto muziejus";"Žydų kultūros kelias (Lietuva-Latvija- Baltarusija)";"5000.00";
"1012";"1.6";"teatras";"BĮ";"Zarasų kultūros centras";"Tetaro savaitė „Neišauk iš teatro“";"6000.00";
"1013";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Zarasų rajono savivaldybės kultūros centras";"Dainos virš ežerų";"4000.00";
"1014";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Zarasų rajono savivaldybės kultūros centras";"XXIII - Tarptautinis, tradicinis liaudiško muzikavimo festivalis ""Sėlos muzikantai""";"3100.00";
"1015";"1.15";"mėgėjų menas";"BĮ";"Zarasų rajono savivaldybės kultūros centras";"Dainų šventės ""Čia mano namai"" aidai";"2000.00";
"1016";"1.16";"biblioteka";"BĮ";"Zarasų rajono savivaldybės viešoji biblioteka";"Virtualus literatūrinis turas „Pasaulis pagal poetus romantikus (Antaną Vienažindį, Faustą Kiršą, Paulių Širvį ir Petrą Gaulę)“";"1500.00";
"1017";"1.19";"kultūros paveldas";"BĮ";"Žaslių kultūros centras";"Paparčių seniūnija XX amžiuje";"4100.00";
"1018";"1.11";"muzika";"BĮ";"Žemaičių dailės muziejus";"X Tarptautinis Mykolo Oginskio festivalis, skirtas Kleopo Oginskio metams";"25000.00";"Ilgalaikio materialiojo ir nematerialiojo turto įsigijimo ir žirgų konkūro išlaidos"
"1019";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Žemaičių dailės muziejus";"Žemaitės kūryba - etnologinis žemaičių turtas. Renginių ciklas skirtas rašytojos Žemaitės 170-osioms gimimo metinėms paminėti";"2700.00";
"1020";"1.18";"muziejus";"BĮ";"Žemaičių dailės muziejus";"M. M. Oginskio rūmų, paskutinės Oginskių rezidencijos, ekspozicijos atidarymas. Skirta M. K. Oginskio 250-osioms gimimo metinėms";"10000.00";"Ne ekspozicijos rengimo išlaidos"
"1021";"1.19";"kultūros paveldas";"BĮ";"Žemaičių dailės muziejus";"Kunigaikščio Mykolo Oginskio rūmai - nauja istorinės atminties erdvė. Skirta Mykolo Kleopo Oginskio 250-osioms gimimo metinėms";"3000.00";
"1022";"1.14";"etninė kultūra ir tautodailė";"BĮ";"Žemaičių muziejus ""Alka""";"Žemaičių muziejus ""Alka"": Prieverpstės ir rankšluostinės. Katalogas.";"5600.00";
"1023";"1.19";"kultūros paveldas";"VšĮ";"Žiemgalos leidykla";"Knygų serija ""Šiaurės Lietuvos kultūros paveldas. 2"". ""Praeities vaizdai. 1918-1940"". Leidinys (vaizdų albumas)";"3400.00";
"1024";"1.19";"kultūros paveldas";"VšĮ";"Žiemgalos leidykla";"Praeities ir dabarties kultūros metraštis. ""Gimtasai kraštas. 2015/8"". Leidinys";"3100.00";
"1025";"1.11";"muzika";"BĮ";"Žiežmarių kultūros centras";"Koncertų-susitikimų su nacionalinės premijos laureatais ciklas ""Muzika gyvai""";"2000.00";
"1026";"1.19";"kultūros paveldas";"VšĮ";"Žydų kultūros ir informacijos centras";"Virtualus Vilniaus muziejus - Lietuvos Jeruzalė (Jerushalaim de Lita)";"9700.00";
"1027";"1.19";"kultūros paveldas";"VšĮ";"Žydų kultūros ir informacijos centras";"Išnykęs ir dingstantis paveldas: medinių sinagogų architektūra 3D modeliuose";"6300.00";
